No;Latitude;Longitude;Selected
1;40;-7,5;x
2;40;-5;x
3;40;-2,5;x
4;40;0;x
5;40;2,5;
6;40;5;
7;40;7,5;
8;40;10;
9;40;12,5;
10;40;15;x
11;40;17,5;x
12;40;20;x
13;40;22,5;x
14;40;25;
15;40;27,5;x
16;42,5;-7,5;x
17;42,5;-5;x
18;42,5;-2,5;x
19;42,5;0;x
20;42,5;2,5;x
21;42,5;5;
22;42,5;7,5;
23;42,5;10;
24;42,5;12,5;x
25;42,5;15;x
26;42,5;17,5;
27;42,5;20;x
28;42,5;22,5;x
29;42,5;25;x
30;42,5;27,5;x
31;45;-7,5;
32;45;-5;
33;45;-2,5;
34;45;0;x
35;45;2,5;x
36;45;5;x
37;45;7,5;x
38;45;10;x
39;45;12,5;x
40;45;15;x
41;45;17,5;x
42;45;20;x
43;45;22,5;x
44;45;25;x
45;45;27,5;x
46;47,5;-7,5;
47;47,5;-5;
48;47,5;-2,5;x
49;47,5;0;x
50;47,5;2,5;x
51;47,5;5;x
52;47,5;7,5;x
53;47,5;10;x
54;47,5;12,5;x
55;47,5;15;x
56;47,5;17,5;x
57;47,5;20;x
58;47,5;22,5;x
59;47,5;25;x
60;47,5;27,5;x
61;50;-7,5;
62;50;-5;x
63;50;-2,5;
64;50;0;
65;50;2,5;x
66;50;5;x
67;50;7,5;x
68;50;10;x
69;50;12,5;x
70;50;15;x
71;50;17,5;x
72;50;20;x
73;50;22,5;x
74;50;25;x
75;50;27,5;x
76;52,5;-7,5;x
77;52,5;-5;
78;52,5;-2,5;x
79;52,5;0;x
80;52,5;2,5;
81;52,5;5;x
82;52,5;7,5;x
83;52,5;10;x
84;52,5;12,5;x
85;52,5;15;x
86;52,5;17,5;x
87;52,5;20;x
88;52,5;22,5;x
89;52,5;25;x
90;52,5;27,5;x
91;55;-7,5;x
92;55;-5;x
93;55;-2,5;x
94;55;0;
95;55;2,5;
96;55;5;
97;55;7,5;
98;55;10;x
99;55;12,5;x
100;55;15;
101;55;17,5;
102;55;20;x
103;55;22,5;x
104;55;25;x
105;55;27,5;x
106;57,5;-7,5;
107;57,5;-5;x
108;57,5;-2,5;x
109;57,5;0;
110;57,5;2,5;
111;57,5;5;
112;57,5;7,5;
113;57,5;10;x
114;57,5;12,5;x
115;57,5;15;x
116;57,5;17,5;
117;57,5;20;
118;57,5;22,5;x
119;57,5;25;x
120;57,5;27,5;x
121;60;-7,5;
122;60;-5;x
123;60;-2,5;
124;60;0;
125;60;2,5;
126;60;5;x
127;60;7,5;x
128;60;10;x
129;60;12,5;x
130;60;15;x
131;60;17,5;x
132;60;20;
133;60;22,5;x
134;60;25;x
135;60;27,5;
136;62,5;-7,5;
137;62,5;-5;
138;62,5;-2,5;
139;62,5;0;
140;62,5;2,5;
141;62,5;5;
142;62,5;7,5;x
143;62,5;10;x
144;62,5;12,5;x
145;62,5;15;x
146;62,5;17,5;x
147;62,5;20;
148;62,5;22,5;x
149;62,5;25;x
150;62,5;27,5;x
151;65;-7,5;
152;65;-5;
153;65;-2,5;
154;65;0;
155;65;2,5;
156;65;5;
157;65;7,5;
158;65;10;
159;65;12,5;x
160;65;15;x
161;65;17,5;x
162;65;20;x
163;65;22,5;
164;65;25;x
165;65;27,5;x