No;Latitude;Longitude
1;40;-7,5
2;40;-5
3;40;-2,5
4;40;0
5;40;2,5
6;40;5
7;40;7,5
8;40;10
9;40;12,5
10;40;15
11;40;17,5
12;40;20
13;40;22,5
14;40;25
15;40;27,5
16;42,5;-7,5
17;42,5;-5
18;42,5;-2,5
19;42,5;0
20;42,5;2,5
21;42,5;5
22;42,5;7,5
23;42,5;10
24;42,5;12,5
25;42,5;15
26;42,5;17,5
27;42,5;20
28;42,5;22,5
29;42,5;25
30;42,5;27,5
31;45;-7,5
32;45;-5
33;45;-2,5
34;45;0
35;45;2,5
36;45;5
37;45;7,5
38;45;10
39;45;12,5
40;45;15
41;45;17,5
42;45;20
43;45;22,5
44;45;25
45;45;27,5
46;47,5;-7,5
47;47,5;-5
48;47,5;-2,5
49;47,5;0
50;47,5;2,5
51;47,5;5
52;47,5;7,5
53;47,5;10
54;47,5;12,5
55;47,5;15
56;47,5;17,5
57;47,5;20
58;47,5;22,5
59;47,5;25
60;47,5;27,5
61;50;-7,5
62;50;-5
63;50;-2,5
64;50;0
65;50;2,5
66;50;5
67;50;7,5
68;50;10
69;50;12,5
70;50;15
71;50;17,5
72;50;20
73;50;22,5
74;50;25
75;50;27,5
76;52,5;-7,5
77;52,5;-5
78;52,5;-2,5
79;52,5;0
80;52,5;2,5
81;52,5;5
82;52,5;7,5
83;52,5;10
84;52,5;12,5
85;52,5;15
86;52,5;17,5
87;52,5;20
88;52,5;22,5
89;52,5;25
90;52,5;27,5
91;55;-7,5
92;55;-5
93;55;-2,5
94;55;0
95;55;2,5
96;55;5
97;55;7,5
98;55;10
99;55;12,5
100;55;15
101;55;17,5
102;55;20
103;55;22,5
104;55;25
105;55;27,5
106;57,5;-7,5
107;57,5;-5
108;57,5;-2,5
109;57,5;0
110;57,5;2,5
111;57,5;5
112;57,5;7,5
113;57,5;10
114;57,5;12,5
115;57,5;15
116;57,5;17,5
117;57,5;20
118;57,5;22,5
119;57,5;25
120;57,5;27,5
121;60;-7,5
122;60;-5
123;60;-2,5
124;60;0
125;60;2,5
126;60;5
127;60;7,5
128;60;10
129;60;12,5
130;60;15
131;60;17,5
132;60;20
133;60;22,5
134;60;25
135;60;27,5
136;62,5;-7,5
137;62,5;-5
138;62,5;-2,5
139;62,5;0
140;62,5;2,5
141;62,5;5
142;62,5;7,5
143;62,5;10
144;62,5;12,5
145;62,5;15
146;62,5;17,5
147;62,5;20
148;62,5;22,5
149;62,5;25
150;62,5;27,5
151;65;-7,5
152;65;-5
153;65;-2,5
154;65;0
155;65;2,5
156;65;5
157;65;7,5
158;65;10
159;65;12,5
160;65;15
161;65;17,5
162;65;20
163;65;22,5
164;65;25
165;65;27,5